"site","freq","mod","freqBin","amp"
"Florida","6Hz","box",117,0.021517956
"Florida","6Hz","box",117.428571428571,0.021456352
"Florida","6Hz","box",117.857142857143,0.0213980733333333
"Florida","6Hz","box",118.285714285714,0.0213244153333333
"Florida","6Hz","box",118.714285714286,0.0212639386666667
"Florida","6Hz","box",119.142857142857,0.0212031783333333
"Florida","6Hz","box",119.571428571429,0.0211443216666667
"Florida","6Hz","box",120,0.0210822516666667
"Florida","6Hz","box",120.428571428571,0.0210228046666667
"Florida","6Hz","box",120.857142857143,0.020964593
"Florida","6Hz","box",121.285714285714,0.0209055983333333
"Florida","6Hz","box",121.714285714286,0.0208462916666667
"Florida","6Hz","box",122.142857142857,0.0207872783333333
"Florida","6Hz","box",122.571428571429,0.020732396
"Florida","6Hz","box",123,0.0206743823333333
"Florida","6Hz","box",123.428571428571,0.020615464
"Florida","6Hz","box",123.857142857143,0.020558433
"Florida","6Hz","box",124.285714285714,0.0205021456666667
"Florida","6Hz","box",124.714285714286,0.0204443426666667
"Florida","6Hz","box",125.142857142857,0.0203907243333333
"Florida","6Hz","box",125.571428571429,0.0203362896666667
"Florida","6Hz","box",126,0.0203253373333333
"Florida","6Hz","box",126.428571428571,0.020232855
"Florida","6Hz","box",126.857142857143,0.0201807806666667
"Florida","6Hz","box",127.285714285714,0.0201280626666667
"Florida","6Hz","box",127.714285714286,0.0200780393333333
"Florida","6Hz","box",128.142857142857,0.0200247333333333
"Florida","6Hz","box",128.571428571429,0.0199737776666667
"Florida","6Hz","box",129,0.019923688
"Florida","6Hz","box",129.428571428571,0.0198729286666667
"Florida","6Hz","box",129.857142857143,0.0198239306666667
"Florida","6Hz","box",130.285714285714,0.0197744323333333
"Florida","6Hz","box",130.714285714286,0.019725273
"Florida","6Hz","box",131.142857142857,0.019676932
"Florida","6Hz","box",131.571428571429,0.0196286816666667
"Florida","6Hz","box",132,0.0195809093333333
"Florida","6Hz","box",132.428571428571,0.019533989
"Florida","6Hz","box",132.857142857143,0.0194870696666667
"Florida","6Hz","box",133.285714285714,0.019441109
"Florida","6Hz","box",133.714285714286,0.0193973246666667
"Florida","6Hz","box",134.142857142857,0.0193384376666667
"Florida","6Hz","box",134.571428571429,0.0192999826666667
"Florida","6Hz","box",135,0.019256395
"Florida","6Hz","box",135.428571428571,0.0192125233333333
"Florida","6Hz","box",135.857142857143,0.019168308
"Florida","6Hz","box",136.285714285714,0.0191253016666667
"Florida","6Hz","box",136.714285714286,0.0190824406666667
"Florida","6Hz","box",137.142857142857,0.0190375993333333
"Florida","6Hz","box",137.571428571429,0.018993651
"Florida","6Hz","box",138,0.0189495643333333
"Florida","6Hz","box",138.428571428571,0.0189092626666667
"Florida","6Hz","box",138.857142857143,0.018866763
"Florida","6Hz","box",139.285714285714,0.0188251106666667
"Florida","6Hz","box",139.714285714286,0.0187833563333333
"Florida","6Hz","box",140.142857142857,0.0187435193333333
"Florida","6Hz","box",140.571428571429,0.0187015743333333
"Florida","6Hz","box",141,0.018661749
"Florida","6Hz","box",141.428571428571,0.0186223536666667
"Florida","6Hz","box",141.857142857143,0.0185851003333333
"Florida","6Hz","box",142.285714285714,0.0185408293333333
"Florida","6Hz","box",142.714285714286,0.018501588
"Florida","6Hz","box",143.142857142857,0.0184626983333333
"Florida","6Hz","box",143.571428571429,0.0184278476666667
"Florida","6Hz","box",144,0.0183946643333333
"Florida","6Hz","box",144.428571428571,0.0183545116666667
"Florida","6Hz","box",144.857142857143,0.0183175973333333
"Florida","6Hz","box",145.285714285714,0.0182845186666667
"Florida","6Hz","box",145.714285714286,0.018255163
"Florida","6Hz","box",146.142857142857,0.0181743296666667
"Florida","6Hz","box",146.571428571429,0.018158271
"Florida","6Hz","box",147,0.0181262073333333
"Florida","6Hz","box",147.428571428571,0.0180888946666667
"Florida","6Hz","box",147.857142857143,0.018053202
"Florida","6Hz","box",148.285714285714,0.0180220493333333
"Florida","6Hz","box",148.714285714286,0.0179889503333333
"Florida","6Hz","box",149.142857142857,0.017951575
"Florida","6Hz","box",149.571428571429,0.0179175776666667
"Florida","6Hz","box",150,0.017883403
"Florida","6Hz","box",150.428571428571,0.0178495476666667
"Florida","6Hz","box",150.857142857143,0.0178169923333333
"Florida","6Hz","box",151.285714285714,0.0177852166666667
"Florida","6Hz","box",151.714285714286,0.0177513223333333
"Florida","6Hz","box",152.142857142857,0.017717192
"Florida","6Hz","box",152.571428571429,0.017684122
"Florida","6Hz","box",153,0.017653606
"Florida","6Hz","box",153.428571428571,0.0176214956666667
"Florida","6Hz","box",153.857142857143,0.0175925473333333
"Florida","6Hz","box",154.285714285714,0.01755611
"Florida","6Hz","box",154.714285714286,0.0175266126666667
"Florida","6Hz","box",155.142857142857,0.017495628
"Florida","6Hz","box",155.571428571429,0.0174652006666667
"Florida","6Hz","box",156,0.0174347283333333
"Florida","6Hz","box",156.428571428571,0.017404286
